election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,votes_cast,turnout,votes_disq,disq_pct,validated_votes,MOV_votes,MOV_pct,win_votes,win_pct,win_party,win_name,second_votes,second_pct,second_party,second_name,third_votes,third_pct,third_party,third_name,remainder_votes,remainder_pct,effective_parties,Cox_SF_ratio,winbuckets,delimit
2013-05-11,General Election,Contested,,,Khyber Paktunkhwa (NWFP),Provincial,,,,,,,,,,,,,,,,,,,,,,,,,Other Parties,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,148147.0,0.462124662,2103.0,0.01419536,146044.0,66032.0,0.452137712,90500.0,0.619676262,Pakistan Tehreek-e-Insaf,Imran Khan,24468.0,0.16753855,Awami National Party,Alhaaj Ghula Ahmad Bilour,7121.0,0.048759278,Pakistan Peoples Party Parliamentarians,Muhammad Zulfiqar Afghani,23955.0,0.16402591,2.381451948,0.291033186,166,Delimitation 2002-2013
2013-08-22,By-Election,Contested,NA-1,Peshawar-I,Khyber Paktunkhwa (NWFP),National,320581.0,73724.0,0.229969961,1093.0,0.014825566,72631.0,5475.0,0.075381036,34386.0,0.473434209,Awami National Party,Alhaj Ghulam Ahmad Bilour,28911.0,0.398053173,Pakistan Tehreek-e-Insaf,Gul Badshah,6673.0,0.09187537,Jamiat Ulama-e-Islam (Sami),Muhammad Ibrahim Qasmi,2661.0,0.036637249,2.553119655,0.230811802,Other Parties,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,321660.0,162297.0,0.504560716,4834.0,0.029784901,157463.0,7262.0,0.046118771,46531.0,0.295504341,Pakistan Tehreek-e-Insaf,Ali Muhammad Khan,39269.0,0.24938557,Jamiat Ulema-e Islam (Fazl),Maulana Muhammad Qasim,19436.0,0.123432171,Awami National Party,Muhammad Farooq Khan,52227.0,0.331677918,5.130734507,0.494945122,166,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,288271.0,185169.0,0.642343489,5324.0,0.028752113,179845.0,19508.0,0.108471184,89826.0,0.499463427,Pakistan Muslim League (Nawaz),Azhar Qayyum Nahra,70318.0,0.390992243,Independents,Ch Bilal Ijaz,6833.0,0.037993828,Pakistan Peoples Party Parliamentarians,Tussadiq Masood Khan,12868.0,0.071550502,2.467103875,0.097172843,141,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,352057.0,204854.0,0.581877366,6397.0,0.031227118,198457.0,39129.0,0.197166137,99924.0,0.503504538,Pakistan Muslim League (Nawaz),Justice (Ret) Iftikhar Ahmad Cheema,60795.0,0.306338401,Pakistan Muslim League (Haqiqi),Muhammad Ahmad Chatha,13886.0,0.069969817,Pakistan Muslim League (Qaid-e-Azam),Ch Sajid Hussain Chatha,23852.0,0.120187245,2.800970038,0.228406941,141,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,284417.0,178109.0,0.626224874,4298.0,0.02413129,173811.0,26066.0,0.149967493,93691.0,0.539039531,Pakistan Muslim League (Nawaz),Saira Afzal Tarar,67625.0,0.389072038,Independents,Chaudhary Shaukat Ali Bhatti,5653.0,0.032523833,Pakistan Tehreek-e-Insaf,Riaz Ahmad Tarar,6842.0,0.039364597,2.254861334,0.083593346,141,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,259256.0,167590.0,0.646426698,4852.0,0.028951608,162738.0,322.0,0.001978641,76199.0,0.468231145,Independents,Choudhary Liaqat Abbas Bhatti,75877.0,0.466252504,Pakistan Muslim League (Nawaz),Mian Shahid Hussain Khan Bhatti,4454.0,0.027369145,Pakistan Tehreek-e-Insaf,Akhtar Hussain Bhatti,6208.0,0.038147206,2.285051131,0.058700265,45,Delimitation 2002-2013
2013-08-22,By-Election,Contested,NA-103,Hafizabad-Ii,Punjab,National,259584.0,148218.0,0.570982803,1850.0,0.012481615,146368.0,11041.0,0.075433155,78113.0,0.533675394,Pakistan Muslim League (Nawaz),Mian Shahid Hussain Khan Bhatti,67072.0,0.458242239,Pakistan Tehreek-e-Insaf,Choudary Shokat Ali Bhatti,479.0,0.003272573,Pakistan Peoples Party Parliamentarians,Zaka Ullah,704.0,0.004809794,2.020956217,0.007141579,141,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-104,Gujrat 1,Punjab,National,374975.0,206548.0,0.550831389,6453.0,0.031242133,200095.0,3882.0,0.019400785,85113.0,0.425362953,Pakistan Muslim League (Nawaz),Nawabzada Mazher Ali,81231.0,0.405962168,Pakistan Muslim League (Qaid-e-Azam),Ch Wajahat Hussain,19318.0,0.096544142,Pakistan Tehreek-e-Insaf,Ch Usman Ali Tariq,14433.0,0.072130738,2.808637875,0.237815612,141,Delimitation 2002-2013
2013-05-11,General Election,Contested,NA-105,Gujrat 2,Punjab,National,394060.0,204410.0,0.518728112,4492.0,0.021975442,199918.0,13375.0,0.06690243,78171.0,0.391015316,Pakistan Muslim League (Qaid-e-Azam),Ch Parvez Elahi,64796.0,0.324112886,Pakistan Muslim League (Nawaz),Ch Mubashir Hussain,40094.0,0.200552226,Pakistan Tehreek-e-Insaf,Muhammad Afzal Gondal,16857.0,0.084319571,3.317241759,0.618772764,Other Parties,Delimitation 2002-2013
