election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,BoWYcexY3Y,Bilal Rehman,Independents,9005.0,0.167950463,1.0,Win
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,QgJMMEyC3Q,Muhammad Saeed Khan,Jamaat-e-Islami,5652.0,0.105414328,2.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,X8WffRG90a,Nisar Ahmad,Independents,4635.0,0.086446463,3.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,NKSsE5Yney,Ghulam Mohammad Sadiq,Jamiat Ulema-e Islam (Fazl),4631.0,0.08637186,4.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,iDBjDpQkyR,Khan Dad,Independents,4513.0,0.084171065,5.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,Y6NIyu8etj,Haji Zar Khan Safi,Pakistan Muslim League (Nawaz),4028.0,0.075125427,6.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,o6lTIu3Ooa,Rahim Shah Mohmand,Independents,3432.0,0.064009549,7.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,W23OimszCS,Waheed Ullah,Independents,2755.0,0.051382957,8.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,5e5DN9CTCj,Shah Sawar Khan Mohmand,Independents,1865.0,0.034783744,9.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,2HSqmuU9jo,Dawood Shah,Pakistan Tehreek-e-Insaf,1795.0,0.033478188,10.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,xBG23O69em,Asghar Khan,Independents,1545.0,0.028815488,11.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,19eVWf1AOP,Maulana Hafiz Ameer Ullah Junaidi,Independents,1514.0,0.028237313,12.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,FzZAidemcA,Maualan Sami Ullah,Independents,1274.0,0.023761121,13.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,abTHBktUuz,Muhammad Daud Khan,Independents,1201.0,0.022399612,14.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,QTZwHyE12R,Gull Nawaz Khan Mohmand,Independents,977.0,0.018221833,15.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,FwjpnM0K0U,Muhammad Iqrar Khan,Independents,844.0,0.015741276,16.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,0M3CrOpaE5,Dr Farooq Afzal,Pakistan Peoples Party Parliamentarians,753.0,0.014044053,17.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,wErkngSkoJ,Malik Israil Safi,Independents,541.0,0.010090083,18.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,MeHyvBYU3l,Sultan Shah,Independents,368.0,0.006863495,19.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,m2GKrB5ctF,Qari Mian Ihsan Ullah,Independents,311.0,0.005800399,20.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,6xj88HlVjE,Abid Shah,Independents,310.0,0.005781748,21.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,eOIpDM7hii,Malik Aman,Independents,266.0,0.004961113,22.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,FwRbkSsIQi,Malik Sadbar Khan Musa Khel,Independents,261.0,0.004867859,23.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,bfZ9oiuXGf,Abdul Waheed Khan,Independents,195.0,0.003636906,24.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,GM5MbFOeZo,Noor Jamal Shah,Mutahidda Qabil Party,145.0,0.002704366,25.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,NHb1o8SVyt,Saz Mir Khan,Independents,133.0,0.002480557,26.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,VW1Gy9XAKZ,Rooh Ullah,Independents,120.0,0.002238096,27.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,lfawHI6bJo,Sahahbaz Yasir Ali,Tehreek-e-Tahaffuze Pakistan,103.0,0.001921033,28.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,JnlgXbYa2H,Fazal Hadi,Independents,85.0,0.001585318,29.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,XX987i7wMI,Mian Engineer Taj Mir Khan,Independents,63.0,0.001175,30.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,2383WXDQ4V,Ali Akbar Khan Dawazai,Independents,58.0,0.001081746,31.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,dzB3Oe8PMx,Sawab Khan,Independents,43.0,0.000801984,32.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,SmCFThtpUJ,Khair Ullah,Independents,32.0,0.000596826,33.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,0vpXtz5sge,Walayat Habib,Independents,31.0,0.000578175,34.0,Loss
2013-05-11,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,179304.0,53617.0,66.0,0YbJpX03rQ,Wazir Mohammad Safi,Pakistan Muslim League (Qaid-e-Azam),28.0,0.000522222,35.0,Loss
