election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,votes_cast,turnout,votes_disq,disq_pct,validated_votes,MOV_votes,MOV_pct,win_votes,win_pct,win_party,win_name,second_votes,second_pct,second_party,second_name,third_votes,third_pct,third_party,third_name,remainder_votes,remainder_pct,effective_parties,Cox_SF_ratio,winbuckets,delimit
2002-10-10,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,233907.0,67194.0,0.287268017,1552.0,0.0230973,65642.0,14177.0,0.215974529,37179.0,0.566390421,Muttahidda Majlis-e-Amal Pakistan,Shabir Ahmad,23002.0,0.350415892,Awami National Party,Usman Bashir Bilour,2029.0,0.030910088,Pakistan Tehreek-e-Insaf,Sajid Abdullah,3432.0,0.052283599,2.244104169,0.088209721,96,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,223817.0,89404.0,0.399451337,1713.0,0.019160217,87691.0,55185.0,0.629312016,69726.0,0.79513291,Muttahidda Majlis-e-Amal Pakistan,Molana M. Qasim,14541.0,0.165820894,Pakistan Peoples Party Parliamentarians,Rahim Dad Khan,2858.0,0.032591714,Pakistan Muslim League (Qaid-e-Azam),Sher M. Khan,566.0,0.006454482,1.513232934,0.196547693,96,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-100,Gujranwala 6,Punjab,National,280754.0,138474.0,0.493221824,5532.0,0.039949738,132942.0,23852.0,0.179416588,73107.0,0.549916505,Pakistan Muslim League (Qaid-e-Azam),Ch. Bilal Ijaz,49255.0,0.370499917,Pakistan Muslim League (Haqiqi),Hamed Nasir Chattha,8375.0,0.062997397,Muttahidda Majlis-e-Amal Pakistan,M. Ehsanullah,2205.0,0.01658618,2.252893071,0.170033499,142,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-101,Gujranwala 7,Punjab,National,302628.0,148718.0,0.491421812,4897.0,0.032928092,143821.0,4816.0,0.033486069,69171.0,0.480952017,Pakistan Muslim League (Haqiqi),Hamid Nasir Chattha,64355.0,0.447465947,Pakistan Peoples Party Parliamentarians,Asma Shahnawaz,7169.0,0.049846684,Independents,Shaukat Hayat Chattha,3126.0,0.021735352,2.30208434,0.111397716,Other Parties,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,221662.0,114784.0,0.517833458,3994.0,0.03479579,110790.0,7606.0,0.068652405,50824.0,0.458741764,Pakistan Muslim League (Qaid-e-Azam),Ch. Mehdi Hasan Bhatti,43218.0,0.390089358,Pakistan Muslim League (Nawaz),Brig. (R) M. Usman Tarar,15079.0,0.136104342,Pakistan Peoples Party Parliamentarians,Ahmad Bilal Tarar,1669.0,0.015064537,2.622796719,0.348905549,142,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,206486.0,115347.0,0.558618986,3502.0,0.030360564,111845.0,24636.0,0.220269122,67626.0,0.60464035,Pakistan Muslim League (Qaid-e-Azam),Ch. Liaqat Abbas Bhatti,42990.0,0.384371228,Independents,Ch. Sarfraz Khan Bhatti,1229.0,0.010988421,Pakistan Tehreek-e-Insaf,"Mian Akhtar Hussain Khan Bhatti, Adv.",0.0,0.0,1.947601954,0.028588044,142,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-104,Gujrat 1,Punjab,National,303985.0,158322.0,0.520821751,4313.0,0.02724195,154009.0,19475.0,0.126453649,82126.0,0.53325455,Pakistan Muslim League (Qaid-e-Azam),Ch. Wajahat Hussain,62651.0,0.406800901,Pakistan Peoples Party Parliamentarians,Nawabzada Ghazanfar Ali Gul,5587.0,0.036277101,Muttahidda Majlis-e-Amal Pakistan,Qari M. Liaqat Ali Naqshbandi,3645.0,0.023667448,2.215189321,0.089176549,142,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-105,Gujrat 2,Punjab,National,292310.0,138588.0,0.474113099,3380.0,0.024388836,135208.0,14177.0,0.104853263,66809.0,0.49412017,Pakistan Muslim League (Qaid-e-Azam),Ch. Shujaat Hussain,52632.0,0.389266907,Pakistan Peoples Party Parliamentarians,Ch. Ahmad Mukhtar,6819.0,0.050433406,Muttahidda Majlis-e-Amal Pakistan,Hafiz Amjad Shaheen Warraich,8948.0,0.066179516,2.494609386,0.129559964,142,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-106,Gujrat 3,Punjab,National,319747.0,165680.0,0.51815967,5198.0,0.031373732,160482.0,13612.0,0.084819481,83438.0,0.519921237,Pakistan Peoples Party Parliamentarians,Ch. Qamar Zaman,69826.0,0.435101756,National Alliance,Mian M. Afzal Hayat,6357.0,0.039611919,Pakistan Awami Tehreek,Ch. M. Asghar Deona,861.0,0.005365088,2.168117951,0.091040587,157,Delimitation 2002-2013
2002-10-10,General Election,Contested,NA-107,Gujrat 4,Punjab,National,308463.0,163542.0,0.530183523,5399.0,0.033012926,158143.0,3811.0,0.024098443,52484.0,0.331876846,Pakistan Peoples Party Parliamentarians,Rehman Naseer Ch.,48673.0,0.307778403,Pakistan Muslim League (Qaid-e-Azam),Syed Noor-Ul-Hassan Shah,43905.0,0.277628475,Pakistan Muslim League (Nawaz),Malik Ajmal Siddiq,13081.0,0.082716276,3.504397716,0.902040145,157,Delimitation 2002-2013
