election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,dRTReSzPQS,Syed Khursheed Ahmed Shah,Pakistan Peoples Party Parliamentarians,35291.0,0.429095994,1.0,Win
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,2ezwSoIPoT,Molana M. Asad Thanvi,Muttahidda Majlis-e-Amal Pakistan,17230.0,0.209496018,2.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,KH6OpuKjxP,Sakhi Abdul Razzaq Khoso,Muttahida Qaumi Movement,14945.0,0.181713174,3.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,Qwidb8sUW9,Abdul Qadir Ghumro,Pakistan Muslim League (Functional),11043.0,0.13426956,4.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,i2B9MRhzfL,Kh. Jalil Ahmed (Rtd),Pakistan Muslim League (Nawaz),981.0,0.011927777,5.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,mVR4oV4D28,Ahmed Ali Qureshi,Pakistan Muslim League (Qaid-e-Azam),825.0,0.010031005,6.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,XmIJjTa3Oj,Asghar Ali Chuhan,Pakistan Peoples Party (Shaheed Bhutto),628.0,0.007635723,7.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,KXYOaekUbK,Atta-Ur-Rehman,Sunni Tehreek,293.0,0.003562527,8.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,QbXQTritdi,Syed Shafqat Ali Shah Masoomi,Independents,276.0,0.003355827,9.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,bc2tewsU6a,Mufti M. Iqbal Hussain Shah Faizi,Nizam-e-Mustafa Party,220.0,0.002674935,10.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,o0KnAOVBJD,Syed Sardar Ali Shah Jilani,Pakistan Tehreek-e-Insaf,164.0,0.001994042,11.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,REo8vEhtRI,Khursheed Afghan,Independents,87.0,0.001057815,12.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,V50xE3of7F,Amir Ali Surhio,Independents,74.0,0.000899751,13.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,QJckN51IHU,Zahid Hussain Awan,Independents,69.0,0.000838957,14.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,o6PxS2Gsio,M. Ali Sheikh,Independents,66.0,0.00080248,15.0,Loss
2002-10-10,General Election,Contested,NA-198,Sukkur 1,Sindh,National,238761.0,82245.0,1665.0,U9pe42ELrc,Ali Mardan Khan,Independents,53.0,0.000644416,16.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,2idY7vqeWf,Abdul Mujeeb Pirzada,Pakistan Peoples Party Parliamentarians,51694.0,0.478147864,1.0,Win
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,HDg5eQA207,Taj M. Sheikh,National Alliance,46282.0,0.428089129,2.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,oJKQDD7AFu,Begum Zahida Abbasi,Muttahida Qaumi Movement,3403.0,0.031476326,3.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,gPaweWjfxZ,H. M. Ramzan Bhutto,Muttahidda Majlis-e-Amal Pakistan,2694.0,0.024918372,4.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,HtsWZab8Z0,Mir Ijaz Hussain Khan Mehar,Pakistan Muslim League (Functional),1067.0,0.009869303,5.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,OOix8n80L5,Anwar Ali Leghari,Pakistan Peoples Party (Shaheed Bhutto),750.0,0.006937186,6.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,kuDQO9BCYm,M. Ali Sheikh,Independents,699.0,0.006465457,7.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,kNXSoZg1RP,Ch. Javed Iqbal,Pakistan Muslim League (Nawaz),634.0,0.005864235,8.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,Ce8UO7At2O,Abdullah Mangi,Independents,363.0,0.003357598,9.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,qS0rtYOimn,Ijaz Ali Kalwar,Pakistan Tehreek-e-Insaf,247.0,0.002284647,10.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,lY6lLHqwcI,Abdul Aziz Buriro,Independents,134.0,0.001239444,11.0,Loss
2002-10-10,General Election,Contested,NA-199,Sukkur 2,Sindh,National,286117.0,108113.0,3008.0,dzIFZ8xoaD,Hussain Ahmed Jagirani,Independents,51.0,0.000471729,12.0,Loss
